team_id,name,abbreviation,location,logo_url,sport,league
1,Orioles,BAL,Baltimore,https://a.espncdn.com/i/teamlogos/mlb/500/bal.png,Baseball,MLB
2,Red Sox,BOS,Boston,https://a.espncdn.com/i/teamlogos/mlb/500/bos.png,Baseball,MLB
3,Angels,LAA,Los Angeles,https://a.espncdn.com/i/teamlogos/mlb/500/laa.png,Baseball,MLB
4,White Sox,CHW,Chicago,https://a.espncdn.com/i/teamlogos/mlb/500/chw.png,Baseball,MLB
5,Guardians,CLE,Cleveland,https://a.espncdn.com/i/teamlogos/mlb/500/cle.png,Baseball,MLB
6,Tigers,DET,Detroit,https://a.espncdn.com/i/teamlogos/mlb/500/det.png,Baseball,MLB
7,Royals,KC,Kansas City,https://a.espncdn.com/i/teamlogos/mlb/500/kc.png,Baseball,MLB
8,Brewers,MIL,Milwaukee,https://a.espncdn.com/i/teamlogos/mlb/500/mil.png,Baseball,MLB
9,Twins,MIN,Minnesota,https://a.espncdn.com/i/teamlogos/mlb/500/min.png,Baseball,MLB
10,Yankees,NYY,New York,https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png,Baseball,MLB
11,Athletics,OAK,Oakland,https://a.espncdn.com/i/teamlogos/mlb/500/oak.png,Baseball,MLB
12,Mariners,SEA,Seattle,https://a.espncdn.com/i/teamlogos/mlb/500/sea.png,Baseball,MLB
13,Rangers,TEX,Texas,https://a.espncdn.com/i/teamlogos/mlb/500/tex.png,Baseball,MLB
14,Blue Jays,TOR,Toronto,https://a.espncdn.com/i/teamlogos/mlb/500/tor.png,Baseball,MLB
15,Braves,ATL,Atlanta,https://a.espncdn.com/i/teamlogos/mlb/500/atl.png,Baseball,MLB
16,Cubs,CHC,Chicago,https://a.espncdn.com/i/teamlogos/mlb/500/chc.png,Baseball,MLB
17,Reds,CIN,Cincinnati,https://a.espncdn.com/i/teamlogos/mlb/500/cin.png,Baseball,MLB
18,Astros,HOU,Houston,https://a.espncdn.com/i/teamlogos/mlb/500/hou.png,Baseball,MLB
19,Dodgers,LAD,Los Angeles,https://a.espncdn.com/i/teamlogos/mlb/500/lad.png,Baseball,MLB
20,Nationals,WSH,Washington,https://a.espncdn.com/i/teamlogos/mlb/500/wsh.png,Baseball,MLB
21,Mets,NYM,New York,https://a.espncdn.com/i/teamlogos/mlb/500/nym.png,Baseball,MLB
22,Phillies,PHI,Philadelphia,https://a.espncdn.com/i/teamlogos/mlb/500/phi.png,Baseball,MLB
23,Pirates,PIT,Pittsburgh,https://a.espncdn.com/i/teamlogos/mlb/500/pit.png,Baseball,MLB
24,Cardinals,STL,St. Louis,https://a.espncdn.com/i/teamlogos/mlb/500/stl.png,Baseball,MLB
25,Padres,SD,San Diego,https://a.espncdn.com/i/teamlogos/mlb/500/sd.png,Baseball,MLB
